Rk,Gcar,Gtm,Date,Team,,Opp,Type,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1,2020-11-25,Iowa,,Northern Iowa,REG (Non-Conf),W 96-81,*,26,10,17,0.588,3,6,0.500,7,11,0.636,0.676,4,4,1.000,1,7,8,4,3,0,4,3,27,22.5
2,2,2,2020-12-02,Iowa,@,Drake,REG (Non-Conf),W 103-97,*,35,12,19,0.632,3,10,0.300,9,9,1.000,0.711,3,4,0.750,0,3,3,13,4,1,5,4,30,29.2
3,3,3,2020-12-05,Iowa,,Wisconsin,REG (Conf),W 85-78,*,31,8,23,0.348,3,10,0.300,5,13,0.385,0.413,4,6,0.667,0,5,5,5,1,0,4,1,23,10.9
4,4,4,2020-12-09,Iowa,,Iowa State,REG (Non-Conf),W 82-80,*,36,11,23,0.478,5,13,0.385,6,10,0.600,0.587,7,8,0.875,0,7,7,6,2,0,7,3,34,22.0
5,5,5,2020-12-12,Iowa,@,Michigan State,REG (Conf),L 82-86,*,36,11,25,0.440,4,10,0.400,7,15,0.467,0.520,9,9,1.000,1,6,7,4,1,2,4,1,35,25.2
6,6,6,2020-12-22,Iowa,,Western Illinois,REG (Non-Conf),W 92-65,*,28,3,15,0.200,1,6,0.167,2,9,0.222,0.233,6,7,0.857,0,13,13,10,3,1,4,1,13,13.5
7,7,7,2020-12-31,Iowa,,Rutgers,REG (Conf),W 90-84,*,34,8,16,0.500,3,8,0.375,5,8,0.625,0.594,9,11,0.818,2,4,6,6,1,0,8,4,28,17.4
8,8,8,2021-01-03,Iowa,@,Illinois,REG (Conf),W 107-68,*,27,7,16,0.438,3,6,0.500,4,10,0.400,0.531,4,5,0.800,1,3,4,4,2,0,3,0,21,15.6
9,9,9,2021-01-06,Iowa,,Minnesota,REG (Conf),W 92-79,*,32,12,19,0.632,5,9,0.556,7,10,0.700,0.763,8,9,0.889,1,10,11,5,0,1,4,1,37,31.6
10,10,10,2021-01-09,Iowa,@,Northwestern,REG (Conf),L 67-77,*,32,3,12,0.250,1,5,0.200,2,7,0.286,0.292,1,2,0.500,1,1,2,8,0,0,4,5,8,1.0
11,11,11,2021-01-13,Iowa,,Ohio State,REG (Conf),L 82-84 (OT),*,40,9,20,0.450,3,9,0.333,6,11,0.545,0.525,6,8,0.750,2,8,10,5,1,2,6,1,27,19.1
12,12,12,2021-01-18,Iowa,,Purdue,REG (Conf),W 87-81,*,30,8,20,0.400,2,9,0.222,6,11,0.545,0.450,8,12,0.667,1,8,9,4,3,1,6,2,26,16.4
13,13,13,2021-01-28,Iowa,,Northwestern,REG (Conf),L 80-87,*,27,8,16,0.500,4,12,0.333,4,4,1.000,0.625,3,4,0.750,0,2,2,8,0,0,3,4,23,16.2
14,14,14,2021-01-31,Iowa,@,Minnesota,REG (Conf),W 94-68,*,28,7,16,0.438,3,8,0.375,4,8,0.500,0.531,5,6,0.833,3,1,4,11,1,0,5,3,22,18.1
15,15,15,2021-02-04,Iowa,@,Ohio State,REG (Conf),L 87-92,*,36,10,21,0.476,4,11,0.364,6,10,0.600,0.571,6,6,1.000,0,4,4,9,0,0,7,5,30,17.8
16,16,16,2021-02-07,Iowa,,Indiana,REG (Conf),L 72-85,*,36,12,27,0.444,4,12,0.333,8,15,0.533,0.519,2,3,0.667,1,3,4,1,0,0,6,3,30,10.6
17,17,17,2021-02-11,Iowa,@,Nebraska,REG (Conf),W 88-81,*,38,12,18,0.667,6,10,0.600,6,8,0.750,0.833,9,9,1.000,1,9,10,9,1,0,7,2,39,34.1
18,18,18,2021-02-18,Iowa,,Penn State,REG (Conf),W 96-78,*,38,12,21,0.571,6,11,0.545,6,10,0.600,0.714,2,2,1.000,0,6,6,7,1,1,4,1,32,26.1
19,19,19,2021-02-23,Iowa,@,Maryland,REG (Conf),L 93-111,*,32,11,20,0.550,9,16,0.563,2,4,0.500,0.775,3,3,1.000,0,3,3,7,1,0,6,2,34,24.4
20,20,20,2021-02-25,Iowa,,Michigan,REG (Conf),W 89-67,*,36,10,17,0.588,7,12,0.583,3,5,0.600,0.794,0,0,,0,5,5,9,1,1,6,2,27,21.8
21,21,21,2021-02-28,Iowa,@,Wisconsin,REG (Conf),W 84-70,*,38,4,13,0.308,3,9,0.333,1,4,0.250,0.423,7,7,1.000,1,6,7,14,1,2,4,1,18,20.8
22,22,22,2021-03-03,Iowa,@,Indiana,REG (Conf),L 80-89,*,33,11,18,0.611,5,7,0.714,6,11,0.545,0.750,5,6,0.833,0,2,2,5,1,0,3,5,32,23.5
23,23,23,2021-03-06,Iowa,,Nebraska,REG (Conf),W 83-75,*,34,11,19,0.579,5,10,0.500,6,9,0.667,0.711,8,8,1.000,1,7,8,4,1,0,3,0,35,29.7
24,24,24,2021-03-10,Iowa,,Purdue,CTOURN,W 83-72,*,36,8,21,0.381,2,8,0.250,6,13,0.462,0.429,9,11,0.818,0,7,7,9,1,0,4,1,27,19.7
25,25,25,2021-03-11,Iowa,@,Rutgers,CTOURN,W 73-62,*,37,7,15,0.467,2,7,0.286,5,8,0.625,0.533,5,5,1.000,0,2,2,10,1,0,5,3,21,15.7
26,26,26,2021-03-12,Iowa,,Michigan State,CTOURN,W 87-72,*,36,6,21,0.286,3,10,0.300,3,11,0.273,0.357,5,5,1.000,0,3,3,11,2,0,3,3,20,14.1
27,27,27,2021-03-13,Iowa,@,Maryland,CTOURN,L 84-104,*,36,7,18,0.389,4,10,0.400,3,8,0.375,0.500,3,4,0.750,0,8,8,7,0,0,6,3,21,10.9
28,28,28,2021-03-21,Iowa,N,Central Michigan,ROUND-64,W 87-72,*,36,8,16,0.500,3,8,0.375,5,8,0.625,0.594,4,5,0.800,0,7,7,7,2,0,3,2,23,19.8
29,29,29,2021-03-23,Iowa,N,Kentucky,ROUND-32,W 86-72,*,37,13,21,0.619,6,12,0.500,7,9,0.778,0.762,3,3,1.000,0,7,7,7,1,1,5,1,35,28.8
30,30,30,2021-03-27,Iowa,N,Connecticut,ROUND-16,L 72-92,*,39,7,21,0.333,4,12,0.333,3,9,0.333,0.429,3,4,0.750,1,2,3,5,2,1,5,2,21,10.4
31,31,1,2021-11-09,Iowa,,New Hampshire,REG (Non-Conf),W 93-50,*,26,6,10,0.600,3,7,0.429,3,3,1.000,0.750,11,11,1.000,0,8,8,6,2,1,5,3,26,24.5
32,32,2,2021-11-11,Iowa,,Samford,REG (Non-Conf),W 91-54,*,25,8,14,0.571,3,8,0.375,5,6,0.833,0.679,0,0,,0,4,4,4,0,0,2,1,19,14.0
33,33,3,2021-11-14,Iowa,@,Northern Iowa,REG (Non-Conf),W 82-61,*,37,9,22,0.409,4,13,0.308,5,9,0.556,0.500,3,5,0.600,0,11,11,7,2,0,4,2,25,17.8
34,34,4,2021-11-17,Iowa,,Southern,REG (Non-Conf),W 87-67,*,29,2,9,0.222,1,6,0.167,1,3,0.333,0.278,11,12,0.917,0,10,10,10,3,1,6,1,16,17.4
35,35,5,2021-12-02,Iowa,@,Duke,REG (Non-Conf),L 64-79,*,35,9,27,0.333,1,13,0.077,8,14,0.571,0.352,3,3,1.000,0,9,9,8,1,0,2,4,22,12.4
36,36,6,2021-12-05,Iowa,,Michigan State,REG (Conf),W 88-61,*,32,9,25,0.360,2,10,0.200,7,15,0.467,0.400,4,4,1.000,4,6,10,12,2,1,2,3,24,22.6
37,37,7,2021-12-08,Iowa,@,Iowa State,REG (Non-Conf),L 70-77,*,40,10,26,0.385,4,12,0.333,6,14,0.429,0.462,2,2,1.000,0,7,7,3,2,1,6,3,26,11.5
38,38,8,2021-12-18,Iowa,,UCF,REG (Non-Conf),W 69-61,*,38,5,18,0.278,3,12,0.250,2,6,0.333,0.361,8,11,0.727,2,9,11,6,0,0,4,3,21,12.3
39,39,9,2021-12-21,Iowa,,IUPUI,REG (Non-Conf),L 73-74,*,34,6,16,0.375,1,7,0.143,5,9,0.556,0.406,6,6,1.000,0,11,11,4,2,1,4,3,19,13.8
40,40,10,2022-01-02,Iowa,,Evansville,REG (Non-Conf),W 93-56,*,30,18,26,0.692,2,7,0.286,16,19,0.842,0.731,6,7,0.857,0,5,5,8,2,0,1,1,44,40.3
41,41,11,2022-01-06,Iowa,,Northwestern,REG (Conf),L 69-77,*,38,8,17,0.471,1,8,0.125,7,9,0.778,0.500,13,13,1.000,0,3,3,5,1,1,4,2,30,22.6
42,42,12,2022-01-09,Iowa,@,Nebraska,REG (Conf),W 95-86,*,40,11,24,0.458,1,6,0.167,10,18,0.556,0.479,8,9,0.889,1,7,8,12,2,1,7,1,31,24.7
43,43,13,2022-01-13,Iowa,@,Purdue,REG (Conf),W 79-66,*,38,5,14,0.357,0,6,0.000,5,8,0.625,0.357,14,16,0.875,0,8,8,9,0,0,3,3,24,19.9
44,44,14,2022-01-16,Iowa,,Nebraska,REG (Conf),W 93-83,*,36,9,22,0.409,1,4,0.250,8,18,0.444,0.432,12,12,1.000,0,10,10,10,4,2,3,2,31,30.8
45,45,15,2022-01-20,Iowa,@,Minnesota,REG (Conf),W 105-49,*,35,14,21,0.667,4,6,0.667,10,15,0.667,0.762,3,4,0.750,0,13,13,11,0,0,4,1,35,32.7
46,46,16,2022-01-23,Iowa,,Illinois,REG (Conf),W 82-56,*,29,8,17,0.471,2,5,0.400,6,12,0.500,0.529,0,1,0.000,1,7,8,7,2,1,6,2,18,12.5
47,47,17,2022-01-25,Iowa,@,Penn State,REG (Conf),W 107-79,*,35,6,17,0.353,4,10,0.400,2,7,0.286,0.471,4,4,1.000,1,6,7,18,0,0,4,3,20,20.4
48,48,18,2022-01-28,Iowa,@,Northwestern,REG (Conf),W 72-67 (OT),*,45,8,22,0.364,3,8,0.375,5,14,0.357,0.432,9,9,1.000,1,10,11,5,0,1,11,1,28,12.3
49,49,19,2022-01-31,Iowa,,Ohio State,REG (Conf),L 88-92,*,36,16,28,0.571,7,14,0.500,9,14,0.643,0.696,4,6,0.667,0,4,4,7,0,0,7,3,43,26.9
50,50,20,2022-02-03,Iowa,@,Wisconsin,REG (Conf),W 84-50,*,31,12,18,0.667,1,4,0.250,11,14,0.786,0.694,2,2,1.000,1,10,11,11,0,0,4,4,27,25.0
51,51,21,2022-02-06,Iowa,@,Michigan,REG (Conf),L 90-98,*,40,14,29,0.483,6,13,0.462,8,16,0.500,0.586,12,14,0.857,1,3,4,10,3,0,4,4,46,36.5
52,52,22,2022-02-09,Iowa,,Minnesota,REG (Conf),W 88-78,*,38,10,20,0.500,4,8,0.500,6,12,0.500,0.600,8,11,0.727,0,8,8,6,3,1,2,1,32,28.7
